2024-06-16 23:04:49.774 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-2mjz5, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.7746253
2024-06-16 23:04:59.988 Event: Pod Created, Pod: hello-5-instances-00001-deployment-7dbc498d-pdhgt, Namespace: default, Node: None, Timestamp: 1718579099.9887462
2024-06-16 23:05:00.000 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-pdhgt, Namespace: default, Node: minikube-m02, Timestamp: 1718579100.0004847
2024-06-16 23:05:00.033 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-pdhgt, Namespace: default, Node: minikube-m02, Timestamp: 1718579100.0338159
2024-06-16 23:05:00.092 Event: Pod Created, Pod: hello-5-instances-00001-deployment-7dbc498d-wnxlz, Namespace: default, Node: None, Timestamp: 1718579100.0926218
2024-06-16 23:05:00.105 Event: Pod Created, Pod: hello-5-instances-00001-deployment-7dbc498d-bgdlz, Namespace: default, Node: None, Timestamp: 1718579100.1057363
2024-06-16 23:05:00.108 Event: Pod Created, Pod: hello-5-instances-00001-deployment-7dbc498d-l2xnp, Namespace: default, Node: None, Timestamp: 1718579100.108121
2024-06-16 23:05:00.110 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-wnxlz, Namespace: default, Node: minikube-m02, Timestamp: 1718579100.110332
2024-06-16 23:05:00.113 Event: Pod Created, Pod: hello-5-instances-00001-deployment-7dbc498d-k95w9, Namespace: default, Node: None, Timestamp: 1718579100.1135654
2024-06-16 23:05:00.121 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-bgdlz, Namespace: default, Node: minikube-m02, Timestamp: 1718579100.121587
2024-06-16 23:05:00.126 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-wnxlz, Namespace: default, Node: minikube-m02, Timestamp: 1718579100.1260328
2024-06-16 23:05:00.142 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-bgdlz, Namespace: default, Node: minikube-m02, Timestamp: 1718579100.142672
2024-06-16 23:05:00.147 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-l2xnp, Namespace: default, Node: minikube-m02, Timestamp: 1718579100.1469805
2024-06-16 23:05:00.160 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-l2xnp, Namespace: default, Node: minikube-m02, Timestamp: 1718579100.1604464
2024-06-16 23:05:00.165 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-k95w9, Namespace: default, Node: minikube-m02, Timestamp: 1718579100.165386
2024-06-16 23:05:00.181 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-k95w9, Namespace: default, Node: minikube-m02, Timestamp: 1718579100.1819208
2024-06-16 23:05:01.796 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-wnxlz, Namespace: default, Node: minikube-m02, Timestamp: 1718579101.796304
2024-06-16 23:05:01.817 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-wnxlz, Namespace: default, Node: minikube-m02, Timestamp: 1718579101.817158
2024-06-16 23:05:01.833 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-l2xnp, Namespace: default, Node: minikube-m02, Timestamp: 1718579101.8335416
2024-06-16 23:05:01.847 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-pdhgt, Namespace: default, Node: minikube-m02, Timestamp: 1718579101.8473947
2024-06-16 23:05:01.860 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-bgdlz, Namespace: default, Node: minikube-m02, Timestamp: 1718579101.8609087
2024-06-16 23:05:01.877 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-k95w9, Namespace: default, Node: minikube-m02, Timestamp: 1718579101.8773363
2024-06-16 23:05:02.815 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-k95w9, Namespace: default, Node: minikube-m02, Timestamp: 1718579102.81579
2024-06-16 23:05:09.846 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7dbc498d-l2xnp, Namespace: default, Node: minikube-m02, Timestamp: 1718579109.8463318
